model,pinball,coverage,width,med_MAPE,pinball_%
lstm,162.97878301317732,79.86159169550173,18.326990270081378,5.71363770933788,1.371434682036102
dlinear,163.27948282773485,79.75284231339594,18.652465518925304,5.7225997178153385,1.3739650123462301
xgb,166.74285094363626,78.83341571922887,18.775040216323916,5.75219499551232,1.4031085797664211
tree_blend,166.84228772979193,78.6950074147306,18.733210796238225,5.750945545063047,1.4039453209340924
lgbm,167.68975714911548,78.84330202669302,18.925319884604807,5.743368393579624,1.411076610861146
vol_21d,167.99317768299755,79.3178447849728,20.66089017785267,5.805569702692228,1.4136298354939139
