model,h,pinball,coverage,width,med_MAPE,pinball_%
lgbm,1,88.65478406024084,80.62283737024222,10.223816415819735,2.754355422268135,0.7460127222744403
xgb,1,86.82036712195516,80.13840830449827,9.995610440774895,2.75450854829643,0.7305764614068152
vol_21d,1,86.85362465052742,81.66089965397923,9.931876771934618,2.7576150370926764,0.7308563170253168
tree_blend,1,86.90461676750381,80.34602076124567,10.012659660113862,2.7544826639944455,0.7312854057474127
lgbm,2,125.36994758392031,79.93079584775087,14.515593861516587,4.077800993942054,1.0549636647350287
xgb,2,124.18582532856868,80.27681660899654,13.910143586419672,4.078091694833256,1.0449995068321638
vol_21d,2,123.79585429494472,79.72318339100346,13.914229886577822,4.10170753950277,1.0417179766193745
tree_blend,2,124.1869244678282,80.13840830449827,13.91120355907874,4.078049807594279,1.0450087558747263
lgbm,3,151.7889962674943,77.99307958477509,16.433925749365734,5.117429261981616,1.2772748083157492
xgb,3,151.08156725204995,78.13148788927336,16.74925232934597,5.123294295194501,1.2713219310827626
vol_21d,3,151.20252943070264,78.54671280276817,17.833343586865343,5.121570065346974,1.2723398042313523
tree_blend,3,151.36993450276034,77.85467128027682,16.51706148981181,5.117667112021372,1.2737484852726761
lgbm,4,179.30084060290494,76.67820069204151,18.940817316056762,6.082507189301336,1.5087816142372907
xgb,4,177.91886542978773,76.47058823529412,18.628952773600606,6.085565357870132,1.4971525626080822
vol_21d,4,179.14851166298175,78.26989619377163,21.056427963095988,6.10945425699494,1.5074997959083885
tree_blend,4,178.1017912342392,76.33217993079585,18.776362804447157,6.083523263799349,1.4986918475863227
lgbm,5,190.24646245768236,79.7923875432526,21.79742685242449,6.666720736600841,1.6008868880070697
xgb,5,189.86375969526603,79.51557093425605,21.71084351210438,6.6732794647702045,1.5976665188793508
vol_21d,5,192.65625937833988,79.7923875432526,24.201976869256654,6.812460971156867,1.6211648592408239
tree_blend,5,189.7101122039061,79.16955017301038,21.50043090137204,6.673353743101569,1.596373605197195
lgbm,6,202.4848006495622,79.23875432525952,24.645707577210835,7.313041976732163,1.703870117704361
xgb,6,202.91833183345705,79.10034602076125,24.445185958410764,7.351042398163325,1.707518198088477
vol_21d,6,205.05667713751453,78.82352941176471,27.40999067612013,7.429211525146084,1.7255119568952073
tree_blend,6,202.7365807018991,79.10034602076125,24.488425005323496,7.350319560855426,1.7059887977536023
lgbm,7,235.98246842200317,77.64705882352942,25.91995141983952,8.191723174231223,1.9857464607540825
xgb,7,234.41123994436927,78.20069204152249,25.985292913611147,8.199583209458392,1.9725248794672985
vol_21d,7,237.2387872259719,78.4083044982699,30.278385491118144,8.306968523605285,1.9963181385369357
tree_blend,7,234.88605423040676,77.92387543252595,25.92633215352047,8.199222664074892,1.9765203491067136
dlinear,1,85.80118441894517,81.10726643598616,9.224672709076033,2.7638506937173557,0.7220002376775818
dlinear,2,124.17375236730408,80.34602076124567,13.322334441511108,4.0834294770433885,1.044897915217065
dlinear,3,148.7843397287949,79.30795847750865,16.83578689450076,5.090332629605143,1.2519912093797716
dlinear,4,174.40511162722262,79.30795847750865,19.64838405171705,6.038649699194809,1.4675850094586371
dlinear,5,184.92209530339574,80.48442906574394,21.57492869413625,6.649772660633821,1.5560833765297986
dlinear,6,196.45905789906206,79.10034602076125,23.77806790991997,7.299037424203757,1.6531646673366565
dlinear,7,228.41083844941934,78.61591695501731,26.18308393161597,8.133125440309094,1.9220326708241018
lstm,1,85.27961542657776,82.42214532871972,9.088854594371915,2.759743879956258,0.7176113363004654
lstm,2,121.81660057330026,80.2076124567474,12.809653322455834,4.075236698802717,1.025062942459543
lstm,3,147.17416382353525,78.13148788927336,16.008749142132558,5.084668477981117,1.2384418930833467
lstm,4,173.51890789111704,78.61591695501731,18.87877385739681,6.040048186932477,1.4601277778081412
lstm,5,185.43094187380515,80.48442906574394,21.50553102638258,6.641340781126706,1.5603652212067107
lstm,6,197.77114272141048,79.72318339100346,23.709230980283884,7.2822963490117685,1.664205605291116
lstm,7,229.86010878249544,79.44636678200692,26.28813896754607,8.112129591554124,1.934227998103395
