candidate,fold,pinball_%,coverage,origin_count,data_cutoff
all,2021-01-01 00:00:00+00:00,2.2288980981132305,83.9080459770115,261,2026-07-23 00:00:00+00:00
all,2022-01-01 00:00:00+00:00,1.6731319692241373,77.55883962780514,261,2026-07-23 00:00:00+00:00
all,2023-01-01 00:00:00+00:00,1.1013510486965896,81.15384615384616,260,2026-07-23 00:00:00+00:00
all,2024-01-01 00:00:00+00:00,1.378687675561161,73.16675719717544,263,2026-07-23 00:00:00+00:00
all,2025-01-01 00:00:00+00:00,1.0838195832250568,77.74725274725274,260,2026-07-23 00:00:00+00:00
all,2026-01-01 00:00:00+00:00,1.2718880076050088,80.10204081632652,140,2026-07-23 00:00:00+00:00
legacy,2021-01-01 00:00:00+00:00,2.2385256618645917,83.5249042145594,261,2026-07-23 00:00:00+00:00
legacy,2022-01-01 00:00:00+00:00,1.6742510664569137,77.6135741652983,261,2026-07-23 00:00:00+00:00
legacy,2023-01-01 00:00:00+00:00,1.111557683842999,81.53846153846153,260,2026-07-23 00:00:00+00:00
legacy,2024-01-01 00:00:00+00:00,1.3819564667299926,73.9272134709397,263,2026-07-23 00:00:00+00:00
legacy,2025-01-01 00:00:00+00:00,1.0776989300002235,77.80219780219781,260,2026-07-23 00:00:00+00:00
legacy,2026-01-01 00:00:00+00:00,1.277742751934462,80.10204081632652,140,2026-07-23 00:00:00+00:00
without_returns,2021-01-01 00:00:00+00:00,2.3140261758788667,84.9480021893815,261,2026-07-23 00:00:00+00:00
without_returns,2022-01-01 00:00:00+00:00,1.6908125273588894,76.79255610290093,261,2026-07-23 00:00:00+00:00
without_returns,2023-01-01 00:00:00+00:00,1.0919415583366459,82.58241758241758,260,2026-07-23 00:00:00+00:00
without_returns,2024-01-01 00:00:00+00:00,1.3865597748803824,72.46061922868007,263,2026-07-23 00:00:00+00:00
without_returns,2025-01-01 00:00:00+00:00,1.0945996080715072,78.57142857142857,260,2026-07-23 00:00:00+00:00
without_returns,2026-01-01 00:00:00+00:00,1.2718635328992678,78.87755102040816,140,2026-07-23 00:00:00+00:00
without_volatility,2021-01-01 00:00:00+00:00,2.2209447615115288,80.2408319649699,261,2026-07-23 00:00:00+00:00
without_volatility,2022-01-01 00:00:00+00:00,1.7136111701342136,79.96715927750411,261,2026-07-23 00:00:00+00:00
without_volatility,2023-01-01 00:00:00+00:00,1.1044248068052858,83.73626373626374,260,2026-07-23 00:00:00+00:00
without_volatility,2024-01-01 00:00:00+00:00,1.3723418012290722,73.98153177620858,263,2026-07-23 00:00:00+00:00
without_volatility,2025-01-01 00:00:00+00:00,1.0668027352843283,76.42857142857142,260,2026-07-23 00:00:00+00:00
without_volatility,2026-01-01 00:00:00+00:00,1.2698566837339198,82.14285714285714,140,2026-07-23 00:00:00+00:00
without_volume,2021-01-01 00:00:00+00:00,2.2426861423166065,83.68910782703887,261,2026-07-23 00:00:00+00:00
without_volume,2022-01-01 00:00:00+00:00,1.6744330063295658,77.66830870279146,261,2026-07-23 00:00:00+00:00
without_volume,2023-01-01 00:00:00+00:00,1.097616097141204,81.97802197802197,260,2026-07-23 00:00:00+00:00
without_volume,2024-01-01 00:00:00+00:00,1.382475020607955,72.56925583921782,263,2026-07-23 00:00:00+00:00
without_volume,2025-01-01 00:00:00+00:00,1.079258455917572,78.35164835164835,260,2026-07-23 00:00:00+00:00
without_volume,2026-01-01 00:00:00+00:00,1.2731007993758492,80.3061224489796,140,2026-07-23 00:00:00+00:00
without_market,2021-01-01 00:00:00+00:00,2.2609837556712455,83.30596606458676,261,2026-07-23 00:00:00+00:00
without_market,2022-01-01 00:00:00+00:00,1.6678978273393055,77.23043240284619,261,2026-07-23 00:00:00+00:00
without_market,2023-01-01 00:00:00+00:00,1.110402941259374,80.93406593406594,260,2026-07-23 00:00:00+00:00
without_market,2024-01-01 00:00:00+00:00,1.385324931608368,73.22107550244432,263,2026-07-23 00:00:00+00:00
without_market,2025-01-01 00:00:00+00:00,1.080219478748801,78.84615384615384,260,2026-07-23 00:00:00+00:00
without_market,2026-01-01 00:00:00+00:00,1.2748924143810827,80.20408163265306,140,2026-07-23 00:00:00+00:00
without_funding,2021-01-01 00:00:00+00:00,2.071184500377555,81.66392993979201,261,2026-07-23 00:00:00+00:00
without_funding,2022-01-01 00:00:00+00:00,1.6668325955577816,80.02189381499726,261,2026-07-23 00:00:00+00:00
without_funding,2023-01-01 00:00:00+00:00,1.150330790568738,84.28571428571429,260,2026-07-23 00:00:00+00:00
without_funding,2024-01-01 00:00:00+00:00,1.3895003845371587,73.9272134709397,263,2026-07-23 00:00:00+00:00
without_funding,2025-01-01 00:00:00+00:00,1.105883678638002,78.02197802197803,260,2026-07-23 00:00:00+00:00
without_funding,2026-01-01 00:00:00+00:00,1.2971249750258358,80.51020408163265,140,2026-07-23 00:00:00+00:00
