run,tag,origins,asset,model,metric,value
2026-07-24 09:20:36+00:00,calibrated_rw,6901,rw_cal,width,23.530876842882474
2026-07-24 09:20:36+00:00,calibrated_rw,6901,rw_vol,med_MAPE,6.907641536534824
2026-07-24 09:20:36+00:00,calibrated_rw,6901,rw_cal,med_MAPE,6.919799010283226
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,panel,pinball,766.306156029923
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,btc_only,pinball,861.0853146429521
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,panel,coverage,79.93079584775087
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,btc_only,coverage,74.74048442906575
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,panel,width,15.34274528017932
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,btc_only,width,14.636521999896374
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,panel,med_MAPE,4.2761905823082325
2026-07-24 09:21:00+00:00,panel_vs_btc,289,BTC,btc_only,med_MAPE,4.859736454118793
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,rw_vol,pinball,39.58954799997728
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,lgbm_q,pinball,43.26399495679808
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,rw_vol,coverage,80.01503512110321
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,lgbm_q,coverage,64.81546738083492
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,rw_vol,width,23.46081344178472
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,lgbm_q,width,15.88335604517655
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,rw_vol,med_MAPE,7.0076394025246165
2026-07-24 09:21:52+00:00,quantile_lgbm,6081,24,lgbm_q,med_MAPE,7.368720853811866
2026-07-24 09:57:34+00:00,model_zoo,1393,5,garch,pinball,177.48637649911325
2026-07-24 09:57:34+00:00,model_zoo,1393,5,har_rv,pinball,179.7723795961741
2026-07-24 09:57:34+00:00,model_zoo,1393,5,vol_21d,pinball,187.09705126084847
2026-07-24 09:57:34+00:00,model_zoo,1393,5,lightgbm,pinball,190.6698294678071
2026-07-24 09:57:34+00:00,model_zoo,1393,5,ridge,pinball,3.8471192945077196e+122
2026-07-24 09:57:34+00:00,model_zoo,1393,5,garch,coverage,79.01753666290638
2026-07-24 09:57:34+00:00,model_zoo,1393,5,har_rv,coverage,78.75089734386216
2026-07-24 09:57:34+00:00,model_zoo,1393,5,vol_21d,coverage,78.1560865552251
2026-07-24 09:57:34+00:00,model_zoo,1393,5,lightgbm,coverage,78.12532047995077
2026-07-24 09:57:34+00:00,model_zoo,1393,5,ridge,coverage,79.65336888524254
2026-07-24 09:57:34+00:00,model_zoo,1393,5,garch,width,17.994076141290314
2026-07-24 09:57:34+00:00,model_zoo,1393,5,har_rv,width,18.488581496453406
2026-07-24 09:57:34+00:00,model_zoo,1393,5,vol_21d,width,21.791190362007182
2026-07-24 09:57:34+00:00,model_zoo,1393,5,lightgbm,width,19.207118957704374
2026-07-24 09:57:34+00:00,model_zoo,1393,5,ridge,width,5.205445628221182e+123
2026-07-24 09:57:34+00:00,model_zoo,1393,5,garch,med_MAPE,5.5446940608202935
2026-07-24 09:57:34+00:00,model_zoo,1393,5,har_rv,med_MAPE,5.579803112138148
2026-07-24 09:57:34+00:00,model_zoo,1393,5,vol_21d,med_MAPE,5.6560147565854795
