model,asset,pinball,coverage,width,med_MAPE,pinball_%
lgbm,BNB,7.022131588789416,85.36826495304004,17.53870206003129,4.544975317205367,1.5861033985344946
lgbm,BTC,782.4351620640929,79.53534354918438,15.338779752963797,4.37900663491278,1.4762208296516703
lgbm,ETH,47.41009971548553,76.52001977261493,18.240703356033265,5.667849543891189,1.8823363728962181
lgbm,SOL,2.245576704491952,77.06376668314384,23.34615414974853,7.533445203186615,2.609576534985891
lgbm,XRP,0.024861533359422466,76.02570439940682,19.89919526681345,6.594134376658486,2.320796698766816
xgb,BNB,7.007736446562872,85.91201186356896,17.47865067486286,4.541198138207578,1.582261512019819
xgb,BTC,780.4104930407902,79.04102817597627,15.166377143005722,4.382812449025901,1.470047058257931
xgb,ETH,47.46462200300237,76.12456747404845,18.148661372084362,5.672056453747228,1.8864249609064843
xgb,SOL,2.2425038355360454,77.21206129510628,23.270017422026644,7.540733768962654,2.60386366478597
xgb,XRP,0.024827508204919205,75.9268413247652,19.755456789482775,6.589731036134159,2.319105573210037
vol_21d,BNB,7.271883484958136,83.93475037073654,18.162733274660237,4.5955965026606025,1.6585631194930834
vol_21d,BTC,780.0195619106313,76.91547207118141,14.315326811583933,4.344616167745989,1.4647034922447046
vol_21d,ETH,48.87488940632749,77.805239742956,19.45105887918269,5.709044327856687,1.9324842349044782
vol_21d,SOL,2.265344071795018,81.11715274345032,27.46535618155598,7.619890041785332,2.6422276078163067
vol_21d,XRP,0.02604394858915199,77.36035590706871,23.40109229025385,6.679818263202403,2.421796204059865
tree_blend,BNB,7.002751437043931,85.76371725160654,17.44344465106165,4.543181460804671,1.5824817287091903
tree_blend,BTC,780.1404487610554,79.23875432525952,15.150584223120788,4.3804785256153895,1.469629612678183
tree_blend,ETH,47.34414937667873,76.17399901136925,18.08481564767976,5.668154467551167,1.8811962671019051
tree_blend,SOL,2.2396650219186056,77.16262975778547,23.122747749404144,7.535635357238657,2.6057895213113946
tree_blend,XRP,0.02479203047380166,75.97627286208602,19.683070685584923,6.588508383387562,2.314626363932105
dlinear,BNB,6.96767024516292,84.77508650519032,16.67148317905173,4.537296903177468,1.6016158372850455
dlinear,BTC,757.306455648005,83.292140385566,15.360700194367316,4.315574652033654,1.4211229895986672
dlinear,ETH,46.98899896371305,77.60751359367276,17.64685137200783,5.668821775963752,1.8619287234805308
dlinear,SOL,2.223657451686916,75.58082056351952,22.70489486443619,7.5345100175421065,2.608681948897731
dlinear,XRP,0.02473084205032644,77.11319822046465,20.097849211094662,6.496137008686634,2.2983354698869043
lstm,BNB,6.936798020660322,86.50519031141869,16.70708163336237,4.522850270725519,1.584124946542246
lstm,BTC,756.2873709659681,80.32624814631734,14.47864680163162,4.308246456829646,1.416810815350602
lstm,ETH,46.97792437250996,78.05239742956006,17.79253964308943,5.661581349390577,1.860156028212513
lstm,SOL,2.2014092334219586,78.15126050420169,22.806712294949403,7.5365908191245365,2.5726111174308106
lstm,XRP,0.024550035409581797,77.06376668314384,19.551463558517774,6.495880199745596,2.284185955328651
