model,pinball,coverage,width,med_MAPE,pinball_%
lstm,162.48561052559398,80.01977261492831,18.26728878631012,5.705029819163176,1.9435777725729644
dlinear,162.70230263012365,79.67375185368265,18.496355764191545,5.710468071480722,1.9583369938297763
tree_blend,167.35036132543414,78.86307464162135,18.696932591370256,5.74319163891949,1.9707446987465558
xgb,167.43003656681927,78.84330202669302,18.763832680292474,5.745306369215505,1.9723405538360483
vol_21d,167.69154456446026,79.4265941670786,20.559113487447338,5.789793060650203,2.023954931703688
lgbm,167.82756632124384,78.90261987147801,18.872706917118066,5.7438822151708875,1.9750067669670177
